full_date,weekday,time,mood
2021-10-15,Friday,21:02,fine I’m fine 
2021-10-14,Thursday,15:51,fine I’m fine 
2021-10-13,Wednesday,19:07,sick
2021-10-12,Tuesday,18:28,fine I’m fine 
2021-10-11,Monday,19:32,fine I’m fine 
2021-10-10,Sunday,20:09,fine I’m fine 
2021-10-10,Sunday,14:11,sick
2021-10-10,Sunday,03:11,excited
2021-10-09,Saturday,20:13,fine I’m fine 
2021-10-09,Saturday,13:04,meh
2021-10-09,Saturday,10:38,bad
2021-10-08,Friday,18:30,fine I’m fine 
2021-10-07,Thursday,23:54,fine I’m fine 
2021-10-06,Wednesday,21:00,meh
2021-10-05,Tuesday,21:00,meh
2021-10-04,Monday,21:00,meh
2021-10-03,Sunday,01:20,fine I’m fine 
2021-10-02,Saturday,15:44,irritated
2021-10-01,Friday,17:51,sick
2021-09-30,Thursday,22:31,irritated
2021-09-29,Wednesday,21:00,meh
2021-09-28,Tuesday,21:39,irritated
2021-09-27,Monday,11:02,fine I’m fine 
2021-09-26,Sunday,15:51,meh
2021-09-25,Saturday,16:07,in love
2021-09-24,Friday,19:49,fine I’m fine 
2021-09-23,Thursday,18:30,meh
2021-09-22,Wednesday,11:08,meh
2021-09-21,Tuesday,21:00,meh
2021-09-20,Monday,21:16,sick
2021-09-19,Sunday,16:06,agitated
2021-09-18,Saturday,17:49,fine I’m fine 
2021-09-17,Friday,20:00,fine I’m fine 
2021-09-16,Thursday,21:18,fine I’m fine 
2021-09-15,Wednesday,17:08,meh
2021-09-14,Tuesday,12:50,fine I’m fine 
2021-09-13,Monday,14:09,calm happy
2021-09-12,Sunday,00:13,fine I’m fine 
2021-09-11,Saturday,18:10,fine I’m fine 
2021-09-10,Friday,16:11,fine I’m fine 
2021-09-09,Thursday,11:02,sick
2021-09-08,Wednesday,23:40,little tears
2021-09-08,Wednesday,19:27,fine I’m fine 
2021-09-08,Wednesday,19:26,meh
2021-09-07,Tuesday,22:12,meh
2021-09-06,Monday,14:09,sick
2021-09-05,Sunday,16:10,meh
2021-09-04,Saturday,18:30,fine I’m fine 
2021-09-03,Friday,18:15,meh
2021-09-03,Friday,12:41,meh
2021-09-02,Thursday,21:48,meh
2021-09-02,Thursday,14:47,fine I’m fine 
2021-09-01,Wednesday,17:00,fine I’m fine 
2021-09-01,Wednesday,15:00,calm happy
2021-08-31,Tuesday,22:52,calm happy
2021-08-30,Monday,10:51,fine I’m fine 
2021-08-29,Sunday,12:08,fine I’m fine 
2021-08-28,Saturday,18:45,fine I’m fine 
2021-08-27,Friday,12:17,calm happy
2021-08-26,Thursday,21:00,fine I’m fine 
2021-08-25,Wednesday,22:20,fine I’m fine 
2021-08-24,Tuesday,15:51,fine I’m fine 
2021-08-23,Monday,11:38,fine I’m fine 
2021-08-22,Sunday,22:02,fine I’m fine 
2021-08-22,Sunday,14:06,meh
2021-08-21,Saturday,13:43,anxious
2021-08-20,Friday,16:11,meh
2021-08-19,Thursday,22:24,meh
2021-08-18,Wednesday,15:51,fine I’m fine 
2021-08-17,Tuesday,18:36,fine I’m fine 
